year,id,country,date,tournament_stage,mp,fg,fga,x3p,x3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,results,mov,fg_p,x3P_p,ft_p,tsa,ts_p,efg_p,tov_p
2014,201408303,finland,2014-08-30,Group Play,200,18,65,4,21,15,17,11,26,5,10,1,31,24,55,L,59,0.27692307692307694,0.19047619047619047,0.8823529411764706,72.48,0.37941501103752756,0.3076923076923077,29.957479706223424
2014,201408303,united states,2014-08-30,Group Play,201,43,73,6,18,22,25,10,41,20,18,4,19,19,114,W,59,0.589041095890411,0.3333333333333333,0.88,84,0.6785714285714286,0.6301369863013698,18.446601941747574
2014,201408304,angola,2014-08-30,Group Play,201,27,59,8,17,18,24,9,39,14,4,2,16,19,80,W,11,0.4576271186440678,0.47058823529411764,0.75,69.56,0.5750431282346176,0.5254237288135594,18.700327255726975
2014,201408304,korea,2014-08-30,Group Play,201,27,73,9,32,6,11,11,30,17,4,6,9,22,69,L,11,0.3698630136986301,0.28125,0.5454545454545454,77.84,0.44321685508735864,0.4315068493150685,10.36388760939659
2014,201408305,lithuania,2014-08-30,Group Play,200,35,58,11,20,6,11,6,20,17,3,3,14,12,87,W,13,0.603448275862069,0.55,0.5454545454545454,62.84,0.6922342457033737,0.6982758620689655,18.219677251431545
2014,201408305,mexico,2014-08-30,Group Play,200,33,61,6,21,2,2,7,23,12,5,1,17,20,74,L,13,0.5409836065573771,0.2857142857142857,1,61.88,0.5979314802844214,0.5901639344262295,21.551724137931036
2014,201408306,croatia,2014-08-30,Group Play,225,28,61,7,25,18,20,10,42,16,7,4,20,23,81,W,3,0.45901639344262296,0.28,0.9,69.8,0.5802292263610316,0.5163934426229508,22.271714922049
2014,201408306,philippines,2014-08-30,Group Play,225,29,79,10,28,10,13,12,32,13,8,1,15,23,78,L,3,0.3670886075949367,0.35714285714285715,0.7692307692307693,84.72,0.4603399433427762,0.43037974683544306,15.042117930204572
2014,201408307,greece,2014-08-30,Group Play,200,30,59,13,24,14,16,9,39,19,5,0,16,25,87,W,23,0.5084745762711864,0.5416666666666666,0.875,66.04,0.6586917019987886,0.6186440677966102,19.502681618722573
2014,201408307,senegal,2014-08-30,Group Play,200,19,58,4,14,22,30,9,28,9,10,7,10,19,64,L,23,0.3275862068965517,0.2857142857142857,0.7333333333333333,71.2,0.449438202247191,0.3620689655172414,12.31527093596059
2014,201408308,egypt,2014-08-30,Group Play,200,24,63,6,23,10,17,8,25,14,7,2,10,18,64,L,21,0.38095238095238093,0.2608695652173913,0.5882352941176471,70.48,0.4540295119182747,0.42857142857142855,12.425447316103378
2014,201408308,serbia,2014-08-30,Group Play,200,33,63,8,21,11,19,9,38,18,6,3,13,18,85,W,21,0.5238095238095238,0.38095238095238093,0.5789473684210527,71.36,0.5955717488789237,0.5873015873015873,15.410146989094358
2014,201408309,australia,2014-08-30,Group Play,201,29,57,6,13,16,21,9,24,12,6,2,19,18,80,L,10,0.5087719298245614,0.46153846153846156,0.7619047619047619,66.24,0.6038647342995169,0.5614035087719298,22.290004692632568
2014,201408309,slovenia,2014-08-30,Group Play,200,34,60,10,21,12,14,11,28,10,10,3,19,27,90,W,10,0.5666666666666667,0.47619047619047616,0.8571428571428571,66.16,0.6801692865779928,0.65,22.310944105213718
